date,realgdp_monthly_yoy,cpi,CNYUSDSpot,trade balance,current consumption,FR007,omo7d,CNYUSDCPR,IP_yoy,cmpi,cmpi_n_indicators,neer_yoy,target_gdp,target_cpi,shock_policy,shock_policy_change
2009-03-01,6.941830897850232,-1.2000000000000028,6.835999999999999,1268.8596966,9317.6,0.953890909090909,3.7561,6.834104545454546,8.3,-1.2567611080171976,7.0,16.40097,8.0,4.0,-0.0047000000000000375,0.0
2009-04-01,7.123925092758743,-1.5,6.830442857142858,897.1810599407144,9343.2,0.943795238095238,3.7561,6.831166666666666,7.3,-1.2902076193578786,8.0,13.1487,8.0,4.0,0.0014000000000000679,0.0
2009-05-01,8.76161636698436,-1.4000000000000057,6.823316666666667,913.5417989116668,10028.4,0.9542,3.7561,6.824494444444444,8.9,-1.2170321827486406,7.0,9.09456,8.0,4.0,0.0,0.0
2009-06-01,8.72476175578285,-1.7000000000000028,6.833581818181818,563.8841424656364,9941.6,1.0165090909090908,3.7561,6.8332454545454535,10.7,-1.2838575508019805,8.0,6.42324,8.0,4.0,0.026699999999999946,0.0
2009-07-01,9.657778702509145,-1.7999999999999972,6.83164347826087,726.1802692020001,9936.5,1.5156739130434784,3.7561,6.832026086956522,10.8,-1.1829560502351184,9.0,6.04,8.0,4.0,0.2810999999999999,0.0
2009-08-01,11.38896467510606,-1.2000000000000028,6.8322,1073.45989155,10115.6,1.474895238095238,3.7561,6.832214285714286,12.3,-1.0608761607717354,8.0,2.8147,8.0,4.0,0.07889999999999997,0.0
2009-09-01,10.76196093598385,-0.7999999999999972,6.82775,882.9730281325001,10912.8,1.5931652173913045,3.7561,6.82890909090909,13.9,-1.0831527733704749,9.0,-0.90033,8.0,4.0,0.1916,0.0
2009-10-01,13.383639432018748,-0.5,6.826725,1637.5698071865,11717.6,1.5243941176470588,3.7561,6.82754375,16.1,-1.052403387592407,9.0,-6.53785,8.0,4.0,0.0,0.0
2009-11-01,11.338544339695854,0.5999999999999943,6.82752380952381,1303.5789844019048,11339.0,1.4367904761904762,3.7561,6.827390476190476,19.2,-1.0460818597927446,9.0,-9.15118,8.0,4.0,0.006399999999999961,0.0
2009-12-01,11.00584023652884,1.9000000000000057,6.827826086956521,1258.3798185739129,12610.0,1.4805565217391303,3.7561,6.827917391304348,18.5,-1.0682915585016228,9.0,-5.47879,8.0,4.0,-0.01859999999999995,0.0
2010-01-01,11.10446484229668,1.5,6.82702,967.2693976904,12718.1,1.473765,3.7561,6.827319999999999,20.7,-0.7563785540707797,11.0,-6.57629,8.0,4.0,-0.03649999999999998,-0.03649999999999998
2010-02-01,14.1976099303575,2.700000000000003,6.8277866666666664,519.7571349338666,12334.2,1.843976470588235,3.7561,6.82704,12.8,-0.6412749164550111,10.0,-6.69446,8.0,4.0,0.04200000000000004,0.04200000000000004
2010-03-01,11.333620451921789,2.4000000000000057,6.826321739130435,-493.9730517454783,11321.7,1.6449478260869563,3.7561,6.826439130434783,18.1,-0.9886209911524438,9.0,-7.85747,8.0,3.0,-0.029999999999999805,0.0
