date,realgdp_monthly_yoy,cpi,CNYUSDSpot,trade balance,current consumption,proxy_fai,FR007,IP_yoy,M2_growth,US_IP_yoy,neer_yoy
2008-02-01,10.985401085470148,8.700000000000003,7.1577875,438.2889359813831,8354.7,4060.645,3.035661111111111,15.4,62378.590000000026,1.06028,5.74889
2008-03-01,11.626375612100247,8.299999999999997,7.072447619047619,670.5990870528321,8123.2,10195.65,2.5156714285714283,17.8,58960.87000000005,0.57343,4.71071
2008-04-01,11.649021883171917,8.5,6.9972095238095235,816.1005999270609,8142.0,10093.14,3.0553523809523813,15.7,61987.25999999995,-0.74277,6.53108
2008-05-01,10.622431465493175,7.700000000000003,6.970454999999999,981.9690230781822,8703.5,11854.13,3.3485571428571426,16.0,66503.44999999995,-1.43831,6.2171
2008-06-01,10.727826074269897,7.099999999999994,6.896590000000001,998.8038571418142,8642.0,18171.78,3.3920000000000003,16.0,65308.869999999995,-1.72494,5.58604
2008-07-01,10.521851616481005,6.299999999999997,6.836317391304347,1181.3685620694268,8628.8,13724.1,3.097256521739131,14.7,62477.28999999998,-1.95855,5.1451
2008-08-01,8.787232799028533,4.900000000000006,6.852309523809525,1347.3108055292803,8767.7,12759.61,3.247457142857143,12.8,61641.52999999997,-3.68328,6.46504
2008-09-01,9.197782422651613,4.599999999999994,6.834673684210526,1371.8050626690417,9446.5,14951.03,3.1757761904761903,11.4,59799.79000000004,-8.13003,9.71063
2008-10-01,7.254950951725969,4.0,6.833505,1645.564173728076,10082.7,13318.36,3.1415300000000004,8.2,58929.15000000002,-6.95432,16.09763
2008-11-01,7.259330743024073,2.4000000000000057,6.82738,1868.711263739028,9790.8,14425.07,2.648965,5.4,58886.74000000005,-8.66983,19.07246
2008-12-01,6.795534957896532,1.2000000000000028,6.852595652173913,1830.4271488624943,10728.5,20553.11,1.5241521739130435,5.7,71724.38999999996,-11.27619,14.04479
2009-01-01,6.555362899105632,1.0,6.83574,1827.4752931499813,10756.6,5137.895,0.9538000000000001,3.8,78317.97000000003,-13.37457,14.08221
2009-02-01,5.692456333288587,-1.5999999999999943,6.83572,226.20531524936317,9323.8,5137.895,0.9528047619047619,11.0,85670.23999999999,-13.56273,13.65013
2009-03-01,6.947310581058996,-1.2000000000000028,6.835999999999999,867.3924885957599,9317.6,13286.21,0.953890909090909,8.3,107572.17999999993,-14.65604,16.40097
2009-04-01,7.095572849001641,-1.5,6.830442857142858,612.8143962435911,9343.2,13520.31,0.9437952380952381,7.3,111167.48999999999,-14.81396,13.1487
2009-05-01,8.794420914083645,-1.4000000000000057,6.823316666666667,623.3384982210624,10028.4,16438.02,0.9541999999999999,8.9,112041.91000000003,-15.16036,9.09456
2009-06-01,8.721082920555423,-1.7000000000000028,6.833581818181818,385.33484235142186,9941.6,24578.03,1.0165090909090908,10.7,125775.17999999993,-15.28248,6.42324
2009-07-01,9.630859442227901,-1.7999999999999972,6.83164347826087,496.1004700135567,9936.5,17833.66,1.5156739130434784,10.8,126740.68,-14.01872,6.04
2009-08-01,11.444628476623976,-1.2000000000000028,6.8322,733.4092671047911,10115.6,17052.78,1.474895238095238,12.3,127852.26999999996,-11.6893,2.8147
2009-09-01,10.734556702255759,-0.7999999999999972,6.82775,602.8719092831677,10912.8,20191.8,1.5931652173913045,13.9,132506.63999999996,-6.80588,-0.90033
2009-10-01,13.425917965976431,-0.5,6.826725,1117.9238741965257,11717.6,17533.16,1.5243941176470588,16.1,133509.97000000003,-7.47451,-6.53785
2009-11-01,11.307321995120322,0.5999999999999943,6.82752380952381,890.0216553598872,11339.0,17924.45,1.4367904761904762,19.2,135960.06999999995,-5.83001,-9.15118
2009-12-01,10.995601700142178,1.9000000000000057,6.827826086956521,859.1998552558578,12610.0,25504.41,1.4805565217391303,18.5,135057.92000000004,-2.70422,-5.47879
2010-01-01,11.136816077555544,1.5,6.82702,660.3567523420314,12718.1,6507.015,1.473765,20.7,129472.65000000002,0.8723,-6.57629
2010-02-01,14.148996350182008,2.700000000000003,6.8277866666666664,354.8790835806322,12334.2,6507.015,1.8439764705882353,12.8,129364.18,1.87082,-6.69446
2010-03-01,11.347607066533794,2.4000000000000057,6.826321739130435,-337.2018981674762,11321.7,16778.66,1.6449478260869563,18.1,119320.75,4.20067,-7.85747
2010-04-01,10.633918501269557,2.799999999999997,6.825790476190476,78.32967431416469,11510.4,16950.06,1.6486380952380952,17.8,116080.01000000001,5.42821,-5.7153
2010-05-01,10.684989477458885,3.0999999999999943,6.828069999999999,910.674062814638,12455.1,20615.55,1.8827950000000002,16.5,115087.85999999999,7.94261,-0.09822
2010-06-01,10.78079924855182,2.9000000000000057,6.8167526315789475,930.37775008322,12329.9,30689.08,2.6867380952380953,13.7,105005.52000000002,8.55133,2.37916
2010-07-01,9.498704966538241,3.299999999999997,6.776654545454545,1319.386953522956,12252.8,21818.87,2.041859090909091,13.4,100948.63,7.74701,1.6849
2010-08-01,9.865656492048203,3.5,6.787854545454545,923.1616793484552,12569.8,21131.5,1.8327136363636363,13.9,110807.97000000009,6.96874,1.43219
2010-09-01,10.330420999454049,3.5999999999999943,6.748994736842104,768.6373276102717,13536.5,24871.83,2.403390909090909,13.3,111066.16000000003,6.34668,2.39283
2010-10-01,8.509924919053624,4.400000000000006,6.66106875,1204.4510799823788,14284.8,21686.53,2.002611764705882,13.1,113133.44999999995,5.76026,2.49642
2010-11-01,11.264496701616423,5.099999999999994,6.6536181818181825,1013.3467315504696,13910.9,23141.72,2.035568181818182,13.3,115734.30000000005,5.39501,4.73026
2010-12-01,9.946060499509745,4.599999999999994,6.646373913043479,577.8024021969062,15329.5,30717.1,3.9975652173913043,13.5,115627.27000000002,5.9962,4.37292
2011-01-01,11.427752529375956,4.900000000000006,6.599115,281.36311830760854,15249.0,8722.08,4.852509523809523,14.1,108275.64000000001,4.6325,3.95876
2011-02-01,8.1417627447528,4.900000000000006,6.583106666666667,-316.62659919803787,13769.1,8722.08,3.734575,14.9,100058.69999999995,3.82736,1.91162
2011-03-01,10.748257521785632,5.400000000000006,6.566130434782609,5.982637540908286,13588.0,22020.75,2.392291304347826,14.8,108183.52000000002,4.19303,1.80123
2011-04-01,10.298426800243309,5.299999999999997,6.527257894736842,486.68503715834976,13649.0,23251.32,2.82928,13.4,100823.42000000004,3.50533,0.69313
2011-05-01,9.758268826288653,5.5,6.495704761904761,550.4814794613507,14696.8,27538.29,3.686152380952381,13.3,100057.94000000006,2.24889,-1.63451
2011-06-01,9.645779018477118,6.400000000000006,6.474334999999999,933.5998312361079,14565.1,34312.17,5.899557142857143,15.1,106899.25,2.36888,-1.79795
2011-07-01,9.143433122725009,6.5,6.4580238095238105,1313.0576487995015,14408.0,27853.18,5.256238095238095,14.0,98872.20999999996,2.48413,-0.3957
2011-08-01,9.631196805755526,6.200000000000003,6.404291304347826,728.3827231154968,14705.0,28187.76,3.9513347826086958,13.5,93345.41999999993,2.79929,1.46195
2011-09-01,9.126402222033292,6.099999999999994,6.389780952380953,592.593692797681,15865.1,31666.38,4.110838095238096,13.8,90934.73999999999,2.41238,4.72382
