date,CPI,CPI_Predict,CPI_Previous
2019/1/10,0,0.3,-0.3
2019/2/15,0.5,0.5,0
2019/3/9,1,0.7,0.5
2019/4/11,-0.4,-0.2,1
2019/5/9,0.1,0.1,-0.4
2019/6/12,0,0.1,0.1
2019/7/10,-0.1,-0.1,0.1
2019/8/9,0.4,0.2,-0.1
2019/9/10,0.7,0.5,0.4
2019/10/15,0.9,0.7,0.7
2019/11/9,,0.7,0.9
2019/12/10,0.4,0.1,0.9
2020/1/9,0,0.3,0.4
2020/2/10,1.4,0.8,0.4
2020/3/10,0.8,0.8,1.4
2020/4/10,-1.2,-0.7,0.8
2020/5/12,-0.9,-0.5,-1.2
2020/6/10,-0.8,-0.5,-0.9
2020/7/9,-0.1,-0.5,-0.8
2020/8/10,0.6,0.4,-0.1
2020/9/9,0.4,0.4,0.6
2020/10/15,0.2,0.3,0.4
2020/11/10,-0.3,0.2,0.2
2020/12/9,-0.6,-0.2,-0.3
2021/1/11,0.7,0.4,-0.6
2021/2/10,1,1,0.7
2021/3/10,0.6,0.4,1
2021/4/9,-0.5,-0.4,0.6
2021/5/11,-0.3,-0.2,-0.5
2021/6/9,-0.2,-0.1,-0.3
2021/7/9,-0.4,-0.1,-0.2
2021/8/9,0.3,0.2,-0.4
2021/9/9,0.1,0.5,0.3
2021/10/14,0,0.3,0.1
2021/11/10,0.7,0.7,0.1
2021/12/9,0.4,0.3,0.7
2022/1/12,-0.3,0.2,0.4
2022/2/16,0.4,0.5,-0.3
2022/3/9,0.6,0.3,0.4
2022/4/11,0,-0.1,0.6
2022/5/11,0.4,0.2,0.6
2022/6/10,-0.2,-0.3,0.4
2022/7/9,0,-0.1,-0.2
2022/8/10,0.5,0.5,-0.2
2022/9/9,-0.1,0.2,0.5
2022/10/14,0.3,0.4,-0.1
2022/11/9,0.1,0.3,0.3
2022/12/9,-0.2,-0.2,0.1
2023/1/12,0,-0.1,-0.2
2023/2/10,0.8,0.7,0
2023/3/9,-0.5,0.2,0.8
2023/4/11,-0.3,0.2,-0.5
2023/5/11,-0.1,0,-0.3
2023/6/9,-0.2,-0.1,-0.1
2023/7/10,-0.2,0,-0.2
2023/8/9,0.2,-0.1,-0.2
2023/9/9,0.3,0.3,0.2
2023/10/13,0.2,0.3,0.3
2023/11/9,-0.1,0,0.2
2023/12/9,-0.5,-0.1,-0.1
2024/1/12,0.1,0.2,-0.5
2024/2/8,0.3,0.4,0.1
2024/3/9,1,0.7,0.3
2024/4/11,-1,-0.5,1
2024/5/11,0.1,,-1
2024/6/12,-0.1,0,0.1
2024/7/10,-0.2,-0.1,-0.1
2024/8/9,0.5,0.3,-0.2
2024/9/9,0.4,0.5,0.5
2024/10/13,0,0.4,0.4
2024/11/9,-0.3,,0
2024/12/9,-0.6,-0.4,-0.3
2025/1/9,0,0,-0.6
2025/1/12,,,-0.6
2025/2/9,0.7,0.8,0
2025/3/9,-0.2,-0.1,0.7
2025/4/10,-0.4,-0.2,-0.2
2025/5/10,0.1,,-0.4
2025/6/9,-0.2,,0.1
2025/7/9,-0.1,0,-0.2
2025/8/9,0.4,0.3,-0.1
2025/9/10,,,0.4
